DATE,DGS6MO,DGS1,DGS5,DGS10
2014-02-03,0.07,0.11,1.44,2.61
2014-02-04,0.07,0.12,1.46,2.64
2014-02-05,0.07,0.12,1.5,2.7
2014-02-06,0.08,0.13,1.52,2.73
2014-02-07,0.09,0.12,1.47,2.71
2014-02-10,0.1,0.12,1.48,2.7
2014-02-11,0.1,0.12,1.54,2.75
2014-02-12,0.09,0.12,1.59,2.8
2014-02-13,0.08,0.12,1.51,2.73
2014-02-14,0.07,0.11,1.53,2.75
2014-02-17,,,,
2014-02-18,0.08,0.12,1.5,2.71
2014-02-19,0.09,0.11,1.53,2.73
2014-02-20,0.08,0.12,1.57,2.76
2014-02-21,0.08,0.12,1.56,2.73
2014-02-24,0.08,0.11,1.57,2.75
2014-02-25,0.08,0.11,1.53,2.7
2014-02-26,0.08,0.11,1.5,2.67
2014-02-27,0.07,0.11,1.49,2.65
2014-02-28,0.08,0.12,1.51,2.66
2014-03-03,0.08,0.12,1.46,2.6
2014-03-04,0.08,0.12,1.54,2.7
2014-03-05,0.09,0.13,1.54,2.7
2014-03-06,0.08,0.12,1.57,2.74
2014-03-07,0.09,0.13,1.65,2.8
2014-03-10,0.08,0.12,1.64,2.79
2014-03-11,0.08,0.13,1.62,2.77
2014-03-12,0.08,0.12,1.59,2.73
2014-03-13,0.08,0.12,1.53,2.66
2014-03-14,0.08,0.12,1.55,2.65
2014-03-17,0.08,0.13,1.58,2.7
2014-03-18,0.07,0.13,1.56,2.68
2014-03-19,0.09,0.15,1.75,2.78
2014-03-20,0.09,0.14,1.73,2.79
2014-03-21,0.08,0.14,1.73,2.75
2014-03-24,0.08,0.14,1.76,2.74
2014-03-25,0.08,0.13,1.76,2.75
2014-03-26,0.07,0.12,1.7,2.71
2014-03-27,0.06,0.12,1.7,2.69
2014-03-28,0.06,0.13,1.74,2.73
2014-03-31,0.07,0.13,1.73,2.73
2014-04-01,0.06,0.13,1.74,2.77
2014-04-02,0.06,0.12,1.8,2.82
2014-04-03,0.05,0.11,1.79,2.8
2014-04-04,0.05,0.11,1.71,2.74
2014-04-07,0.06,0.11,1.68,2.71
2014-04-08,0.06,0.11,1.67,2.69
2014-04-09,0.05,0.1,1.65,2.71
2014-04-10,0.06,0.09,1.59,2.65
2014-04-11,0.06,0.09,1.58,2.63
2014-04-14,0.06,0.1,1.61,2.65
2014-04-15,0.05,0.11,1.63,2.64
2014-04-16,0.05,0.11,1.67,2.65
2014-04-17,0.05,0.11,1.75,2.73
2014-04-18,,,,
2014-04-21,0.06,0.11,1.74,2.73
2014-04-22,0.06,0.11,1.76,2.73
2014-04-23,0.05,0.11,1.73,2.7
2014-04-24,0.04,0.1,1.74,2.7
2014-04-25,0.04,0.11,1.72,2.68
2014-04-28,0.05,0.1,1.73,2.7
2014-04-29,0.05,0.11,1.74,2.71
2014-04-30,0.05,0.11,1.69,2.67
2014-05-01,0.05,0.1,1.66,2.63
2014-05-02,0.05,0.1,1.67,2.6
2014-05-05,0.05,0.11,1.68,2.63
2014-05-06,0.05,0.1,1.68,2.61
2014-05-07,0.05,0.1,1.65,2.62
2014-05-08,0.05,0.1,1.63,2.61
2014-05-09,0.05,0.1,1.63,2.62
2014-05-12,0.05,0.09,1.67,2.66
2014-05-13,0.05,0.1,1.62,2.61
2014-05-14,0.05,0.1,1.57,2.54
2014-05-15,0.05,0.09,1.55,2.5
2014-05-16,0.05,0.09,1.56,2.52
2014-05-19,0.05,0.09,1.56,2.54
2014-05-20,0.06,0.09,1.53,2.52
2014-05-21,0.06,0.09,1.55,2.54
2014-05-22,0.05,0.09,1.57,2.56
2014-05-23,0.05,0.1,1.55,2.54
2014-05-26,,,,
2014-05-27,0.06,0.09,1.56,2.52
2014-05-28,0.05,0.1,1.5,2.44
2014-05-29,0.05,0.1,1.52,2.45
2014-05-30,0.06,0.1,1.54,2.48
2014-06-02,0.06,0.1,1.6,2.54
2014-06-03,0.06,0.1,1.65,2.6
2014-06-04,0.06,0.1,1.65,2.61
2014-06-05,0.06,0.1,1.63,2.59
2014-06-06,0.06,0.11,1.66,2.6
2014-06-09,0.06,0.11,1.69,2.62
2014-06-10,0.06,0.11,1.71,2.64
2014-06-11,0.06,0.11,1.7,2.65
2014-06-12,0.07,0.1,1.66,2.58
2014-06-13,0.07,0.11,1.7,2.6
2014-06-16,0.07,0.11,1.71,2.61
2014-06-17,0.07,0.11,1.77,2.66
2014-06-18,0.06,0.1,1.71,2.61
2014-06-19,0.05,0.09,1.71,2.64
2014-06-20,0.04,0.09,1.71,2.63
2014-06-23,0.06,0.1,1.72,2.63
2014-06-24,0.06,0.12,1.7,2.59
2014-06-25,0.05,0.11,1.68,2.57
2014-06-26,0.06,0.11,1.64,2.53
2014-06-27,0.06,0.1,1.64,2.54
2014-06-30,0.07,0.11,1.62,2.53
2014-07-01,0.06,0.11,1.66,2.58
2014-07-02,0.06,0.12,1.71,2.64
2014-07-03,0.06,0.11,1.74,2.65
2014-07-04,,,,
2014-07-07,0.06,0.12,1.74,2.63
2014-07-08,0.06,0.11,1.7,2.58
2014-07-09,0.06,0.11,1.68,2.57
2014-07-10,0.06,0.1,1.66,2.55
2014-07-11,0.07,0.11,1.65,2.53
2014-07-14,0.06,0.11,1.68,2.55
2014-07-15,0.06,0.11,1.7,2.56
2014-07-16,0.06,0.11,1.71,2.55
2014-07-17,0.06,0.1,1.65,2.47
2014-07-18,0.05,0.1,1.69,2.5
2014-07-21,0.06,0.11,1.7,2.49
2014-07-22,0.07,0.11,1.68,2.48
2014-07-23,0.05,0.11,1.67,2.48
2014-07-24,0.06,0.11,1.72,2.52
2014-07-25,0.06,0.11,1.69,2.48
2014-07-28,0.06,0.11,1.73,2.5
2014-07-29,0.06,0.12,1.7,2.47
2014-07-30,0.06,0.13,1.77,2.57
2014-07-31,0.05,0.12,1.76,2.58
2014-08-01,0.05,0.13,1.67,2.52
2014-08-04,0.06,0.12,1.66,2.51
2014-08-05,0.05,0.12,1.66,2.49
2014-08-06,0.05,0.11,1.66,2.49
2014-08-07,0.04,0.11,1.6,2.43
2014-08-08,0.05,0.1,1.62,2.44
2014-08-11,0.05,0.1,1.62,2.44
2014-08-12,0.05,0.1,1.63,2.46
2014-08-13,0.06,0.1,1.59,2.43
2014-08-14,0.06,0.1,1.58,2.4
2014-08-15,0.05,0.09,1.55,2.34
2014-08-18,0.05,0.1,1.58,2.39
2014-08-19,0.05,0.11,1.59,2.4
2014-08-20,0.06,0.12,1.65,2.43
2014-08-21,0.06,0.1,1.64,2.41
2014-08-22,0.06,0.1,1.68,2.4
2014-08-25,0.05,0.11,1.69,2.39
2014-08-26,0.05,0.12,1.68,2.39
2014-08-27,0.05,0.11,1.65,2.37
2014-08-28,0.05,0.11,1.63,2.34
2014-08-29,0.05,0.09,1.63,2.35
2014-09-01,,,,
2014-09-02,0.05,0.1,1.69,2.42
2014-09-03,0.05,0.11,1.69,2.41
2014-09-04,0.05,0.1,1.71,2.45
2014-09-05,0.05,0.1,1.69,2.46
2014-09-08,0.05,0.1,1.72,2.48
2014-09-09,0.05,0.11,1.76,2.5
2014-09-10,0.05,0.11,1.79,2.54
2014-09-11,0.05,0.11,1.79,2.54
2014-09-12,0.05,0.11,1.83,2.62
2014-09-15,0.05,0.11,1.8,2.6
2014-09-16,0.04,0.13,1.78,2.6
2014-09-17,0.05,0.12,1.82,2.62
2014-09-18,0.04,0.12,1.85,2.63
2014-09-19,0.04,0.11,1.83,2.59
2014-09-22,0.04,0.1,1.8,2.57
2014-09-23,0.04,0.1,1.78,2.54
2014-09-24,0.03,0.11,1.82,2.57
2014-09-25,0.03,0.1,1.75,2.52
2014-09-26,0.03,0.11,1.8,2.54
2014-09-29,0.05,0.11,1.77,2.5
2014-09-30,0.03,0.13,1.78,2.52
2014-10-01,0.04,0.1,1.69,2.42
2014-10-02,0.03,0.1,1.7,2.44
2014-10-03,0.03,0.11,1.73,2.45
2014-10-06,0.05,0.11,1.7,2.43
2014-10-07,0.04,0.1,1.64,2.36
2014-10-08,0.05,0.1,1.57,2.35
2014-10-09,0.05,0.1,1.58,2.34
2014-10-10,0.04,0.1,1.55,2.31
2014-10-13,,,,
2014-10-14,0.04,0.09,1.45,2.21
2014-10-15,0.05,0.1,1.37,2.15
2014-10-16,0.05,0.1,1.39,2.17
2014-10-17,0.05,0.11,1.44,2.22
2014-10-20,0.06,0.1,1.41,2.2
2014-10-21,0.06,0.1,1.44,2.23
2014-10-22,0.06,0.11,1.46,2.25
2014-10-23,0.06,0.11,1.52,2.29
2014-10-24,0.06,0.11,1.52,2.29
